Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,387,93,64.5,240,78,60,81,486,62.7,10.5,6,387,240,501
443,4132,1454,516.5,2829,1454,404.1428571,985,7880,464.0666667,461,346.7142857,4132,2829,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,387,93,64.5,240,78,60,81,486,62.7,10.5,6,387,240,501
443,4132,1454,516.5,2829,1454,404.1428571,985,7880,464.0666667,461,346.7142857,4132,2829,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,387,93,64.5,240,78,60,81,486,62.7,10.5,6,387,240,501
443,4132,1454,516.5,2829,1454,404.1428571,985,7880,464.0666667,461,346.7142857,4132,2829,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,387,93,64.5,240,78,60,81,486,62.7,10.5,6,387,240,501
443,4132,1454,516.5,2829,1454,404.1428571,985,7880,464.0666667,461,346.7142857,4132,2829,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,387,93,64.5,240,78,60,81,486,62.7,10.5,6,387,240,501
443,4132,1454,516.5,2829,1454,404.1428571,985,7880,464.0666667,461,346.7142857,4132,2829,64240
443,3542,1454,272.4615385,5288,1454,377.7142857,496.9230769,6460,327.037037,217.5384615,322.8571429,3542,5288,64240
443,2218,1454,369.6666667,4233,1454,604.7142857,691.3333333,4148,496.2307692,313.6666667,549,2218,4233,64240
443,66,66,66,132,66,66,84,84,66,0,0,66,132,64240
443,2683,1454,383.2857143,1974,1454,282,718.5714286,5030,332.6428571,325.8571429,226.2857143,2683,1974,64240
443,2478,1454,619.5,66,66,66,1191,4764,508.8,562.5,0,2478,66,64240
443,66,66,66,0,0,0,84,84,66,0,0,66,0,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,3872,1454,968,2466,1454,822,1888,7552,905.4285714,914,768,3872,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,387,93,64.5,240,78,60,81,486,62.7,10.5,6,387,240,501
443,4132,1454,516.5,2829,1454,404.1428571,985,7880,464.0666667,461,346.7142857,4132,2829,64240
443,9204,1454,200.0869565,13282,1454,198.238806,352.173913,16200,198.9911504,145.826087,144.0597015,9204,13282,64240
443,2218,1454,369.6666667,4233,1454,604.7142857,691.3333333,4148,496.2307692,313.6666667,549,2218,4233,64240
443,66,66,66,132,66,66,84,84,66,0,0,66,132,64240
443,2683,1454,383.2857143,1974,1454,282,718.5714286,5030,332.6428571,325.8571429,226.2857143,2683,1974,64240
443,4234,1454,470.4444444,2955,1454,328.3333333,892.8888889,8036,399.3888889,413.7777778,270.3333333,4234,2955,64240
443,3046,1454,338.4444444,6551,1454,655.1,628.8888889,5660,505.1052632,283.1111111,599.9,3046,6551,64240
443,2291,1454,327.2857143,5499,1454,611,606.5714286,4246,486.875,271.5714286,555.6666667,2291,5499,64240
443,4560,1454,120,131088,1454,1379.873684,192,7296,1019.909774,65.68421053,1325.747368,4560,131088,64240
443,2042,1454,510.5,66,66,66,973,3892,421.6,453.5,0,2042,66,64240
443,3503,1454,318.4545455,1439,489,159.8888889,588.9090909,6478,247.1,263.3636364,104.5555556,3503,1439,64240
443,3411,1454,243.6428571,35467,1454,1144.096774,439.2857143,6150,863.9555556,188.7857143,1089.709677,3411,35467,64240
443,2622,1454,437,1746,1454,349.2,826,4956,397.0909091,381,292.8,2622,1746,64240
443,66,66,66,0,0,0,84,84,66,0,0,66,0,64240
443,66,66,66,0,0,0,84,84,66,0,0,66,0,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,7383,1454,1054.714286,2466,1454,822,2061.428571,14430,984.9,1000.714286,768,7383,2466,514
443,2071,1454,690.3333333,598,544,299,1332.666667,3998,533.8,636.3333333,245,2071,598,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,387,93,64.5,240,78,60,81,486,62.7,10.5,6,387,240,501
443,4132,1454,516.5,2829,1454,404.1428571,985,7880,464.0666667,461,346.7142857,4132,2829,64240
443,9204,1454,200.0869565,13282,1454,198.238806,352.173913,16200,198.9911504,145.826087,144.0597015,9204,13282,64240
443,2218,1454,369.6666667,4233,1454,604.7142857,691.3333333,4148,496.2307692,313.6666667,549,2218,4233,64240
443,66,66,66,198,66,66,84,84,66,0,0,66,198,64240
443,2683,1454,383.2857143,1974,1454,282,718.5714286,5030,332.6428571,325.8571429,226.2857143,2683,1974,64240
443,4234,1454,470.4444444,2955,1454,328.3333333,892.8888889,8036,399.3888889,413.7777778,270.3333333,4234,2955,64240
443,3046,1454,338.4444444,6551,1454,655.1,628.8888889,5660,505.1052632,283.1111111,599.9,3046,6551,64240
443,2291,1454,327.2857143,5499,1454,611,606.5714286,4246,486.875,271.5714286,555.6666667,2291,5499,64240
443,6111,1454,92.59090909,241773,1454,1397.531792,137.1818182,9054,1037.171548,38.40909091,1343.462428,6111,241773,64240
443,3601,1454,257.2142857,12329,1454,725.2352941,466.4285714,6530,513.8709677,202.3571429,670.5294118,3601,12329,64240
443,3677,1454,262.6428571,4900,1454,350,477.2857143,6682,306.3214286,206.9285714,295.1428571,3677,4900,64240
443,3855,1454,175.2272727,78879,1454,1272.241935,302.4545455,6654,984.9285714,120.1363636,1218.048387,3855,78879,64240
443,2676,1454,382.2857143,2760,1454,460,716.5714286,5016,418.1538462,326.5714286,404,2676,2760,64240
443,2234,1454,319.1428571,4587,1454,764.5,590.2857143,4132,524.6923077,263.4285714,708.5,2234,4587,64240
443,2397,1454,399.5,2169,1429,433.8,751,4506,415.0909091,343.5,377.4,2397,2169,64240
443,6585,1454,506.5384615,1714,535,171.4,965.0769231,12546,360.826087,451.6153846,115,6585,1714,64240
