Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
443,25124,1506,182.057971,1005585,1506,1150.55492,316.115942,43624,1018.487154,128.057971,1096.55492,25124,1005585,516
443,22706,1506,311.0410959,511052,1506,1156.226244,574.0821918,41908,1036.423301,257.0410959,1102.226244,22706,511052,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,26531,1506,178.0604027,1113793,1506,1137.684372,308.1208054,45910,1010.925532,123.9798658,1083.672114,26531,1113793,64240
443,11827,1506,135.9425287,583643,1506,1191.108163,223.8850575,19478,1032.010399,81.8045977,1137.083673,11827,583643,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,425,175,106.25,448,161,112,164.5,658,109.125,52.25,58,425,448,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,27675,1506,183.2781457,1079699,1506,1147.395324,318.5562914,48102,1014.078755,129.2781457,1093.395324,27675,1079699,516
443,31611,1506,339.9032258,602790,1506,1154.770115,631.8064516,58758,1031.546341,285.9032258,1100.770115,31611,602790,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,28834,1506,187.2337662,1138518,1506,1135.112662,326.4675325,50276,1008.947277,133.1558442,1081.100698,28834,1138518,64240
443,11827,1506,135.9425287,583699,1506,1188.796334,223.8850575,19478,1030.321799,81.8045977,1134.771894,11827,583699,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,425,175,106.25,448,161,112,164.5,658,109.125,52.25,58,425,448,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,27675,1506,183.2781457,1079699,1506,1147.395324,318.5562914,48102,1014.078755,129.2781457,1093.395324,27675,1079699,516
443,40366,1506,339.210084,747124,1506,1145.895706,630.4201681,75020,1021.387808,285.210084,1091.895706,40366,747124,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,28834,1506,187.2337662,1138518,1506,1135.112662,326.4675325,50276,1008.947277,133.1558442,1081.100698,28834,1138518,64240
443,18164,1506,174.6538462,692363,1506,1197.859862,301.3076923,31336,1041.828446,120.5384615,1143.8391,18164,692363,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,425,175,106.25,448,161,112,164.5,658,109.125,52.25,58,425,448,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,31220,1506,190.3658537,1162444,1506,1154.363456,332.7317073,54568,1019.354398,136.3658537,1100.363456,31220,1162444,516
443,47167,1506,362.8230769,814842,1506,1138.047486,677.6461538,88094,1018.923168,308.8230769,1084.047486,47167,814842,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,29158,1506,182.2375,1180634,1506,1142.917715,316.475,50636,1014.07544,128.1625,1088.906099,29158,1180634,64240
443,26508,1506,220.9,765717,1506,1183.488408,393.8,47256,1032.887875,166.8,1129.469861,26508,765717,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,425,175,106.25,448,161,112,164.5,658,109.125,52.25,58,425,448,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4174,1474,417.4,360.2222222,3242,316.3684211,148.7777778,362.2,1837,4174,64240
7209,56,56,56,54,54,54,64,64,55,2,0,56,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,39208,1506,203.1502591,1340660,1506,1148.808912,358.3005181,69152,1014.608824,149.1502591,1094.808912,39208,1340660,516
443,50808,1506,343.2972973,931994,1506,1135.193666,638.5945946,94512,1014.24355,289.2972973,1081.193666,50808,931994,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,33750,1506,190.6779661,1311260,1506,1162.464539,333.3559322,59004,1030.659004,136.6101695,1108.453901,33750,1311260,64240
443,26508,1506,220.9,765717,1506,1183.488408,393.8,47256,1032.887875,166.8,1129.469861,26508,765717,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,425,175,106.25,448,161,112,164.5,658,109.125,52.25,58,425,448,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
443,348,294,174,372,316,186,300,600,180,120,132,348,372,510
443,40738,1506,195.8557692,1469863,1506,1147.434036,343.7115385,71492,1014.507052,141.8557692,1093.434036,40738,1469863,516
443,51815,1506,336.461039,969741,1506,1132.875,624.9220779,96238,1011.441584,282.461039,1078.875,51815,969741,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,37656,1506,180.1722488,1541529,1506,1156.435859,312.3444976,65280,1024.114786,126.1148325,1102.426857,37656,1541529,64240
443,26778,1506,214.224,807833,1506,1193.254062,380.448,47556,1040.662095,160.128,1139.236337,26778,807833,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,425,175,106.25,448,161,112,164.5,658,109.125,52.25,58,425,448,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7680,66,66,66,0,0,0,84,84,66,0,0,66,0,64240
443,696,294,174,687,316,229,300,1200,197.5714286,120,175,696,687,510
443,41534,1506,197.7809524,1473423,1506,1146.632685,347.5619048,72988,1013.349164,143.7809524,1092.632685,41534,1473423,516
443,54744,1506,299.147541,1219803,1506,1144.280488,550.295082,100704,1020.453963,245.147541,1090.280488,54744,1219803,516
